teams	1
651	302109	312542	D2 Logic Bombers	D2 Logic Bombers (BYU Hawaii)	BYU Hawaii	USA
652	302110	312542	D2 BrAts	D2 BrAts (BYU Hawaii)	BYU Hawaii	USA
653	302111	312542	D2 KORding	D2 KORding (BYU Hawaii)	BYU Hawaii	USA
654	302112	312542	D2 MFM	D2 MFM (BYU Hawaii)	BYU Hawaii	USA
601	302113	12542	Radioactive Turtles	Radioactive Turtles (BYU Hawaii)	BYU Hawaii	USA
602	305358	12542	00FF00	00FF00 (HPU)	HPU	USA
655	305364	312542	D2 0000FF	D2 0000FF (HPU)	HPU	USA
656	305376	312542	D2 FF0000	D2 FF0000 (HPU)	HPU	USA
657	305688	312542	D2 Cope With It	D2 Cope With It (BYU Hawaii)	BYU Hawaii	USA
605	307570	12542	Alliterations Are Awesome	Alliterations Are Awesome (UH-Hilo)	UH-Hilo	USA
658	307572	312542	D2 - Follow Your Heart	D2 - Follow Your Heart (UH-Hilo)	UH-Hilo	USA
606	309177	12542	UHM NEETs	UHM NEETs (UH Manoa)	UH Manoa	USA
607	309178	12542	UHM Spicy Boyz	UHM Spicy Boyz (UH Manoa)	UH Manoa	USA
608	309179	12542	UHM #1	UHM #1 (UH Manoa)	UH Manoa	USA
659	309496	312542	D2 FFFFFF	D2 FFFFFF (HPU)	HPU	USA
101	307560	12543	Whitworth Pirates	Whitworth Pirates (Whitworth)	Whitworth	USA
102	307561	12543	Whitworth Buccaneers	Whitworth Buccaneers (Whitworth)	Whitworth	USA
103	307562	12543	Whitworth Freebooters	Whitworth Freebooters (Whitworth)	Whitworth	USA
104	307563	12543	Whitworth Corsairs	Whitworth Corsairs (Whitworth)	Whitworth	USA
105	309099	12543	Eagle Black	Eagle Black (EWU)	EWU	USA
106	309100	12543	Eagle Red	Eagle Red (EWU)	EWU	USA
151	309101	312543	D2 Eagle White	D2 Eagle White (EWU)	EWU	USA
152	309102	312543	D2 Screaming Eagles	D2 Screaming Eagles (EWU)	EWU	USA
153	309103	312543	D2 The Eagle Has Landed	D2 The Eagle Has Landed (EWU)	EWU	USA
154	309104	312543	D2 Eagle > Drone	D2 Eagle > Drone (EWU)	EWU	USA
155	309536	312543	D2 Reagle Eagles	D2 Reagle Eagles (EWU)	EWU	USA
107	309552	12543	str8_2dabank	str8_2dabank (Gonzaga U.)	Gonzaga U.	USA
108	309553	12543	Zags	Zags (Gonzaga U.)	Gonzaga U.	USA
156	309554	312543	D2 We got Class	D2 We got Class (Gonzaga U.)	Gonzaga U.	USA
157	309745	312543	D2 3AGL3S	D2 3AGL3S (EWU)	EWU	USA
109	309753	12543	WSU 1	WSU 1 (WSU)	WSU	USA
110	309805	12543	Vandal Gold	Vandal Gold (U of I)	U of I	USA
158	309806	312543	D2-Vandal Silver	D2-Vandal Silver (U of I)	U of I	USA
