File_Version	1
21493	Administrative Site
21494	Future World Finals
21495	South Pacific
21496	Europe
21497	North America
21498	UPE
21499	ICPC Events
21500	Asia Pacific
21501	Asia West
21502	Northern Eurasia
21503	ICPC Live
21504	Host Sponsors
21505	CLI Symposium
21506	ICPC Services
21507	Judges
21508	Host Leaders
21509	ICPCNews
21510	Guests
21511	ICPC Contest Control System, Analytics & Graphics
21512	Host Volunteers
21513	Africa and Arab
21514	Latin America
21515	Asia
21516	ICPC Staff
21517	Asia East
21518	ICPC SysOps
21519	Sponsors
33571	ICPC Operations
