Teams	2
112	262041	10747	TheNorthernLine	University of New South Wales	U New South Wales	AUS	INST-2449
81	262056	10747	Off By Wonders	The University of Western Australia	UWA	AUS	INST-2570
125	271789	10755	ZNTU_SetUp	Zaporizhzhya National Technical University	ZNTU	UKR	INST-6196
118	273334	10752	Waterloo Black	University of Waterloo	U Waterloo	CAN	INST-2566
116	273335	10752	foo	University of Virginia	U Virginia	USA	INST-2564
87	273538	10751	UH_REFRESH	Universidad de La Habana	Univ of Havana	CUB	INST-2112
89	273539	10751	Conquer & Divide	Universidad de Oriente - Sede Antonio Maceo	UO-SAM	CUB	INST-4193
19	273540	10751	La Carabina del AC	Escuela Superior De Computo Instituto Politecnico Nacional	ESCOM IPN	MEX	INST-0467
32	273541	10751	Los Románticos	Instituto Tecnológico Autónomo de México	ITAM	MEX	INST-0791
35	273542	10751	HaKings	ITESM Campus Monterrey	ITESM Monterrey	MEX	INST-0910
88	273543	10751	Programators Mark II	Universidad de los Andes, Colombia	Uniandes	COL	INST-0015
93	273544	10751	RAM	Universidad Simón Bolívar	USB	VEN	INST-2172
99	273546	10751	Turing-indecisos	Universidade Federal de Pernambuco	UF Pernambuco	BRA	INST-2232
98	273547	10751	Abella e as feras	Universidade Federal de Campina Grande	UFCG	BRA	INST-2227
95	273548	10751	Bob	Universidade de São Paulo - Campus de São Carlos	USP - São Carlos	BRA	INST-0695
97	273549	10751	ROBÉRIO E SEUS TECLADOS	Universidade Federal da Bahia	Ufba	BRA	INST-2224
94	273550	10751	Sua mãe	Universidade de São Paulo	USP	BRA	INST-2204
96	273551	10751	BibleThump	Universidade Estadual de Campinas	UNICAMP	BRA	INST-2216
76	273552	10752	Stanford Cardinal	Stanford University	Stanford	USA	INST-1822
104	273571	10757	Amazingly Complicated Macros	University of Cape Town	U Cape Town	ZAF	INST-2346
92	273572	10751	Caloventor en Dos	Universidad Nacional de Rosario	UNR	ARG	INST-2154
85	273573	10751	PUMMAS	Universidad de Buenos Aires - FCEN	U Buenos Aires	ARG	INST-3683
91	273574	10751	1000KB	Universidad Nacional de Ingeniería - FIIS	UNI-FIIS	PER	INST-6590
86	273575	10751	Squash Masters	Universidad de Chile	UChile	CHL	INST-2107
2	274034	10757	New Folder	Alexandria University - Faculty of Engineering	Alexandria U	EGY	INST-0502
3	274062	10757	No Ana Gai Aharag	Arab Academy for Science and Technology (Alexandria)	AAST Alexandria	EGY	INST-0081
62	274064	10757	EarlGrey (PSUT)	Princess Sumaya University for Technology	PSUT	JOR	INST-4376
83	274067	10757	4th FLOOR	Tishreen University	Tishreen	SYR	INST-3775
